filename,repeticao,L,a,b
e42,3,53.01,22.29,19.88
e43,1,80.89,12.6,16.91
e43,2,82.95,13.64,17.61
e43,3,85.42,13.9,16.52
e44,1,81.14,12.53,17.25
e44,2,82.35,12.41,17.31
e44,3,80.44,12.54,17.19
e45,1,84.15,13.68,17.01
e45,2,84.72,13.19,17.28
e45,3,84.21,13.72,19.26
e46,1,77.89,16.38,20.67
e46,2,70.63,16.29,22.54
e46,3,75.37,19.7,21.03
e47,1,76.84,16.71,21.92
e47,2,70.67,17.45,19.66
e47,3,70.42,16.31,19.96
e48,1,68.81,15.31,19.06
e48,2,66.11,15.72,19.23
e48,3,64.84,17,19.18
e49,1,66.68,19.23,20.46
e49,2,65.07,20.09,18.82
e49,3,62.34,20.1,19.73
e50,1,67.28,21.86,22.25
e50,2,72.56,18.11,22.04
e50,3,66.66,21.98,23.51
e51,1,68.03,22.86,23.18
e51,2,73.78,23.35,22.93
e51,3,69.56,22.48,23.79
e52,1,60.78,27.96,22.73
e52,2,59.49,25.8,21.4
e52,3,55.28,24.66,19.88
e53,1,56.96,26.48,21.45
e53,2,59.51,24.84,20.82
e53,3,58.18,25.78,23.74
e54,1,54.86,29.44,21.3
e54,2,56.44,29.07,20.89
e54,3,62.72,25.42,18.79
e55,1,80.57,12.7,16.75
e55,2,77.58,11.67,13.88
e55,3,78.76,12.16,15.72
e56,1,87.04,12.86,13.2
e56,2,85.6,12.66,18.2
e56,3,83.66,11.99,13.35
e57,1,87.06,12.43,14.56
e57,2,87.62,12.81,15.74
e57,3,88.71,12.91,14.25
e58,1,66.47,21.9,22.76
e58,2,66.59,23.95,21.84
e58,3,69.58,26.17,21.92
e59,1,66.65,21.78,22.11
e59,2,69.16,22.12,20.85
e59,3,62.31,20.38,20.4
e60,1,65.96,22.04,21.3
e60,2,65.34,24.07,21.82
e60,3,64.13,23.47,23.93
e61,1,60.36,22.55,20.94
e61,2,52.12,22.52,19.52
e61,3,55.92,26.81,20.27
e62,1,65.68,27.62,25.23
e62,2,68.06,22.69,22.51
e62,3,69.11,24.36,22.42
e63,1,62.4,25.12,21.49
e63,2,57.26,23.81,21.44
e63,3,57.3,21.9,18.95
e64,1,81.37,12.26,17.08
e64,2,82.01,12.72,17
e64,3,85.36,12.47,16.08
e65,1,81.14,13.4,18.68
e65,2,79.03,12.43,16.64
e65,3,77.29,11.78,16.32
e66,1,81.78,12.74,17.2
e66,2,83.46,13.18,17.04
e66,3,82.18,12.35,17.1
e67,1,74.92,18.01,21.22
e67,2,75.23,15.71,19.63
e67,3,76.4,16.25,20.73
e68,1,85.08,14.73,20.43
e68,2,80.84,18.59,24.91
e68,3,81.46,16.45,20.85
e69,1,84.89,16.27,20.99
e69,2,83.44,18.86,25.64
e69,3,86.62,16.05,19.6
e70,1,65.58,19.47,18.41
e70,2,68.93,17.47,21.39
e70,3,63.94,19.28,19.96
e71,1,71.46,18.49,21.52
e71,2,65.21,20.53,20.44
e71,3,64.7,19.55,20.74
e72,1,64.49,19.06,18.95
e72,2,66.2,17.79,20.23
e72,3,70.83,18.28,19.64
e73,1,67.33,25.47,22.87
e73,2,60.8,25.86,23.01
e73,3,61.53,25.29,21.39
e74,1,59.72,27.55,21.91
e74,2,59.41,24.24,19.04
e74,3,59.53,25.98,21.04
e75,1,62.08,25.52,21.41
e75,2,63.13,24.65,21.36
e75,3,64.92,23.59,20.82
e76,1,74.33,11.5,12.07
e76,2,73.22,12.17,12.92
e76,3,77.94,12.56,12.71
e77,1,78.26,12.97,12.42
e77,2,75.29,12.48,12.6
e77,3,76.56,12.88,12.28
e78,1,78.97,13.78,13.92
e78,2,75.92,12.54,11.69
e78,3,83.31,14.29,14.84
e79,1,68.95,22.47,21.98
e79,2,61.47,23.49,21.6
e79,3,63.62,21.64,19.59
e80,1,66.72,20.53,21.02
e80,2,65.6,20.75,20.93
e80,3,66.01,21.11,21.7
e81,1,78.88,17.57,20.94
e81,2,70.19,22.12,22.81
e81,3,74.4,22.23,23.78
e82,1,57.57,26.4,20.41
e82,2,56.16,24.56,19.31
e82,3,58.19,23.73,17.08
e83,1,55.32,22.54,18.43
e83,2,53.69,22.78,19.03
e83,3,55.93,23.08,17.5
e84,1,57.74,23.33,19.48
e84,2,53.73,22.49,16.92
e84,3,53.99,25.81,19.1
