id,attribute,original,prediction,difference
e74,a,25.923333333333332,21.922316,4.001017735799152
e75,a,24.58666666666667,21.257235,3.3294320933024117
e76,a,12.076666666666668,15.994182,3.9175149663289375
e77,a,12.776666666666669,16.160934,3.3842677815755184
e78,a,13.536666666666667,16.075771,2.5391046651204423
e79,a,22.53333333333333,21.481768,1.0515656789143861
e8,a,16.029999999999998,19.515493,3.4854933929443384
e80,a,20.796666666666667,21.521526,0.724859670003255
e81,a,20.64,20.245193,0.39480651855468807
e82,a,24.896666666666665,21.962027,2.934640070597329
e83,a,22.8,21.308329,1.4916713714599616
e84,a,23.876666666666665,21.530312,2.346355082194009
e9,a,15.9,17.915148,2.01514778137207
MAE,,,,2.6058673222584767
a1,b,17.08,19.313974,2.2339743804931658
a10,b,19.536666666666665,20.758335,1.2216684468587253
a100,b,17.27,18.552538,1.2825379180908207
a11,b,20.266666666666666,20.839283,0.5726163228352874
a12,b,17.403333333333332,19.208525,1.8051913706461598
a13,b,13.003333333333336,20.150173,7.146839853922524
a14,b,18.98,19.708607,0.7286067199707027
a15,b,21.590000000000003,21.18469,0.4053095245361362
a16,b,23.333333333333332,20.517601,2.8157323201497384
a17,b,24.473333333333333,20.047865,4.425468419392903
a18,b,21.633333333333336,19.950422,1.6829110463460317
a19,b,20.366666666666667,19.00492,1.3617476145426437
a2,b,17.673333333333332,19.393465,1.7201317087809258
a20,b,17.52,18.931318,1.4113182830810551
a21,b,21.029999999999998,21.439703,0.40970298767090085
a22,b,22.206666666666667,20.284977,1.9216897074381514
a23,b,19.76666666666667,21.889946,2.1232793172200495
a24,b,18.61,21.258604,2.6486040496826178
a25,b,20.040000000000003,20.38707,0.3470697021484348
a26,b,19.40666666666667,19.334232,0.07243433634440422
a27,b,21.153333333333332,20.25105,0.9022823842366527
a28,b,18.326666666666664,17.419115,0.9075516001383441
a29,b,18.163333333333334,16.368,1.7953333028157559
a3,b,18.139999999999997,18.118431,0.021568908691403266
a30,b,15.123333333333335,17.945345,2.822011591593423
a31,b,17.263333333333335,17.17062,0.09271336873372604
a32,b,15.493333333333334,17.902805,2.4094719950358066
a33,b,20.216666666666665,20.78374,0.5670724232991553
a34,b,19.67,21.059166,1.389165954589842
a35,b,21.799999999999997,20.637169,1.1628311157226534
a36,b,14.133333333333335,16.149477,2.016143671671548
a37,b,17.56,17.355978,0.20402198791503778
a38,b,19.226666666666663,19.337627,0.11096074422200886
a39,b,13.536666666666667,16.622019,3.085352147420247
a4,b,20.486666666666668,18.897223,1.5894441477457697
a40,b,12.700000000000001,19.115185,6.415184783935546
a41,b,14.933333333333335,16.48368,1.550347391764321
a42,b,17.353333333333335,18.619282,1.2659484354654928
a43,b,11.663333333333334,15.094597,3.4312635294596348
a44,b,10.486666666666666,13.632171,3.1455040105183922
a45,b,17.746666666666666,18.92881,1.18214345296224
a46,b,14.363333333333335,16.19528,1.8319467417399071
a47,b,13.593333333333334,15.512595,1.9192618433634436
a48,b,14.0,15.9649315,1.9649314880371094
a49,b,16.796666666666667,17.522554,0.725887730916341
a5,b,19.273333333333333,19.327171,0.05383799235026032
a50,b,18.726666666666663,18.51195,0.2147171274820927
a51,b,21.03333333333333,20.301802,0.7315316518147768
a52,b,17.486666666666668,19.44922,1.9625539906819647
a53,b,19.153333333333332,19.621931,0.46859774271647225
a54,b,17.73,19.799458,2.0694575500488277
a55,b,20.706666666666667,20.04608,0.6605870310465498
a56,b,19.183333333333334,19.881968,0.6986342112223305
a57,b,17.790000000000003,19.819815,2.0298146820068332
a58,b,17.686666666666667,20.263783,2.5771158345540357
a59,b,17.44,20.732363,3.2923627471923815
a6,b,18.716666666666665,19.27935,0.5626836140950537
a60,b,19.773333333333333,18.782745,0.9905879720052084
a61,b,18.246666666666666,18.170185,0.07648157755533802
a62,b,23.486666666666668,18.825779,4.6608877054850275
a63,b,23.073333333333334,18.459415,4.6139178975423185
a64,b,20.150000000000002,17.511295,2.6387046813964865
a65,b,22.58,18.053152,4.526847915649412
a66,b,20.906666666666666,17.86073,3.0459374491373694
a67,b,21.16,16.286104,4.873895797729492
a68,b,18.403333333333332,16.33882,2.0645138295491527
a69,b,18.08,18.19404,0.11404029846191577
a7,b,18.886666666666667,19.227404,0.3407369740804036
a70,b,15.89,18.064608,2.1746076202392572
a71,b,20.2,19.263649,0.936351013183593
a72,b,15.883333333333335,15.416109,0.4672242482503268
a73,b,15.600000000000001,13.905415,1.6945854187011733
a74,b,20.973333333333333,18.533947,2.439386342366536
a75,b,18.87,19.09137,0.221369628906249
a76,b,22.849999999999998,19.34273,3.5072704315185526
a77,b,19.66333333333333,20.073969,0.4106355539957711
a78,b,19.63,19.762205,0.13220512390136818
a79,b,19.763333333333332,20.399036,0.6357030741373713
a8,b,16.826666666666668,17.915728,1.0890609486897773
a80,b,21.69333333333333,18.515047,3.1782862599690738
a81,b,21.709999999999997,21.580275,0.1297254180908176
a82,b,19.083333333333332,18.837877,0.24545605977376184
a83,b,19.636666666666667,20.079334,0.4426675923665364
a84,b,18.39,18.630625,0.2406247711181635
a85,b,21.45,19.828077,1.6219226837158196
a86,b,19.863333333333333,19.617752,0.24558125813802079
a87,b,15.763333333333334,18.868645,3.105311381022135
a88,b,17.013333333333335,18.992142,1.978808390299477
a89,b,19.98,19.964325,0.015675048828125426
a9,b,21.936666666666667,20.691721,1.2449457041422534
a90,b,21.846666666666664,19.755585,2.091081949869789
a91,b,18.53333333333333,19.055904,0.5225710550944029
a92,b,20.236666666666668,19.934341,0.30232523600260564
a93,b,18.973333333333333,20.232807,1.2594738260904954
a94,b,19.599999999999998,20.126045,0.5260452270507834
a95,b,18.586666666666666,17.332262,1.2544046274820957
a96,b,18.303333333333335,18.345556,0.04222292582193887
a97,b,20.463333333333335,20.17597,0.28736325581868627
a98,b,16.743333333333336,19.700169,2.956835276285805
a99,b,18.083333333333332,19.25784,1.1745058695475272
c0,b,19.02,18.49686,0.523139495849609
e1,b,18.42,18.688288,0.26828773498534986
e10,b,20.676666666666666,20.457914,0.21875231424967367
e11,b,19.713333333333335,20.561289,0.8479555002848294
e12,b,19.423333333333332,20.858742,1.4354084269205742
e13,b,18.669999999999998,20.21736,1.5473595428466815
e14,b,18.176666666666666,15.953315,2.223351885477701
e15,b,17.876666666666665,16.287556,1.589110972086587
e16,b,19.293333333333333,20.819233,1.5258996073404951
e17,b,19.49,20.986656,1.4966561889648453
e18,b,17.863333333333333,20.546795,2.6834615580240886
e19,b,20.046666666666667,20.44857,0.4019035847981769
e2,b,17.516666666666666,17.923733,0.40706609090169366
e20,b,18.09,20.544828,2.4548284149169923
e21,b,20.576666666666668,19.70842,0.8682468668619805
e22,b,16.266666666666666,18.73939,2.4727227528889983
e23,b,16.12,18.095293,1.9752930450439443
e24,b,19.2,18.507652,0.6923477172851555
e25,b,19.926666666666666,18.617933,1.3087333933512362
e26,b,19.833333333333332,19.164513,0.6688206990559884
e27,b,20.39,19.654768,0.7352320098876959
e28,b,18.906666666666666,19.741747,0.835080235799154
e29,b,20.356666666666666,18.819725,1.5369416300455718
e3,b,18.87333333333333,17.825882,1.0474513753255188
e30,b,21.69333333333333,17.982021,3.711312001546222
e31,b,18.603333333333335,18.727407,0.12407412211100066
e32,b,20.153333333333332,19.295242,0.8580910237630199
e33,b,14.446666666666665,19.077215,4.630548528035483
e34,b,13.700000000000001,19.016737,5.316736984252929
e35,b,13.213333333333333,17.289255,4.075921808878581
e36,b,14.799999999999997,17.686525,2.8865253448486357
e37,b,21.560000000000002,18.942923,2.6170774078369163
e38,b,21.80333333333333,18.616638,3.186695149739581
e39,b,20.16,17.74535,2.414650115966797
e4,b,19.41333333333333,20.660526,1.2471929423014352
e40,b,20.876666666666665,19.87818,0.9984871164957667
e41,b,19.94666666666667,19.700756,0.2459105936686221
e42,b,20.013333333333332,19.802197,0.211136830647785
e43,b,17.013333333333332,18.212564,1.1992311350504572
e44,b,17.25,18.735153,1.4851531982421875
e45,b,17.850000000000005,18.878914,1.0289138793945263
e46,b,21.413333333333338,20.334215,1.0791181691487672
e47,b,20.513333333333332,20.165693,0.3476400502522772
e48,b,19.156666666666666,19.66807,0.5114031728108728
e49,b,19.67,20.468672,0.798671798706053
e5,b,19.12666666666667,20.927183,1.8005164845784485
e50,b,22.599999999999998,20.735262,1.86473808288574
e51,b,23.3,20.256685,3.043314743041993
e52,b,21.336666666666662,20.744518,0.5921483866373656
e53,b,22.00333333333333,20.757765,1.2455685170491506
e54,b,20.326666666666664,20.546122,0.21945493062337462
e55,b,15.450000000000001,17.963385,2.5133846282958974
e56,b,14.916666666666666,16.77659,1.859923680623373
e57,b,14.85,16.550741,1.7007411956787113
e58,b,22.173333333333336,20.645876,1.5274574025472027
e59,b,21.12,20.591091,0.5289088439941416
e6,b,19.08666666666667,17.293982,1.7926851145426461
e60,b,22.350000000000005,20.552958,1.797042465209966
e61,b,20.243333333333336,22.992344,2.749010569254555
e62,b,23.386666666666667,20.760296,2.626370798746745
e63,b,20.626666666666665,20.589165,0.0375019327799464
e64,b,16.72,17.933432,1.213431625366212
e65,b,17.213333333333335,20.272858,3.0595243326822903
e66,b,17.113333333333333,17.848242,0.7349084726969402
e67,b,20.526666666666667,19.239138,1.2875290171305345
